  time ;  Dist ; Course ;   V   ;  Type
 26.500;155.094; 7.75467989816025E+0000;   2.997 Aircraft
 26.600;154.718; 7.73592208079570E+0000;   3.010 Aircraft
 26.700;154.342; 7.71708623590468E+0000;   3.022 Aircraft
 26.800;153.963; 7.69817236348718E+0000;   3.035 Aircraft
 26.900;153.584; 7.67918046354321E+0000;   3.047 Aircraft
 27.000;153.202; 7.66011053607276E+0000;   3.060 Aircraft
 27.100;152.819; 7.64096258107583E+0000;   3.072 Aircraft
 27.200;152.435; 7.62173659855244E+0000;   3.085 Aircraft
 27.300;152.049; 7.60243258850256E+0000;   3.097 Aircraft
 27.400;151.661; 7.58305055092621E+0000;   3.110 Aircraft
 27.500;151.272; 7.56359048582339E+0000;   3.122 Aircraft
 27.600;150.881; 7.54405239319409E+0000;   3.135 Aircraft
 27.700;150.489; 7.52443627303832E+0000;   3.147 Aircraft
 27.800;150.095; 7.50474212535607E+0000;   3.160 Aircraft
 27.900;149.699; 7.48496995014735E+0000;   3.172 Aircraft
 28.000;149.302; 7.46511974741215E+0000;   3.185 Aircraft
 28.100;148.904; 7.44519151715048E+0000;   3.197 Aircraft
 28.200;148.504; 7.42518525936234E+0000;   3.210 Aircraft
 28.300;148.102; 7.40510097404771E+0000;   3.222 Aircraft
 28.400;147.699; 7.38493866120662E+0000;   3.235 Aircraft
 28.500;147.294; 7.36469832083905E+0000;   3.247 Aircraft
 28.600;146.888; 7.34437995294500E+0000;   3.260 Aircraft
 28.700;146.480; 7.32398355752448E+0000;   3.272 Aircraft
 28.800;146.070; 7.30350913457748E+0000;   3.285 Aircraft
 28.900;145.659; 7.28295668410401E+0000;   3.297 Aircraft
 29.000;145.247; 7.26232620610407E+0000;   3.310 Aircraft
 29.100;144.832; 7.24161770057765E+0000;   3.322 Aircraft
 29.200;144.417; 7.22083116752475E+0000;   3.335 Aircraft
 29.300;143.999; 7.19996660694538E+0000;   3.347 Aircraft
 29.400;143.580; 7.17902401883954E+0000;   3.360 Aircraft
 29.500;143.160; 7.15800340320722E+0000;   3.372 Aircraft
 29.600;142.738; 7.13690476004842E+0000;   3.385 Aircraft
 29.700;142.315; 7.11572808936315E+0000;   3.397 Aircraft
 29.800;141.889; 7.09447339115141E+0000;   3.410 Aircraft
 29.900;141.463; 7.07314066541319E+0000;   3.422 Aircraft
 30.000;141.035; 7.05172991214850E+0000;   3.435 Aircraft
